owner,nftId,merkleAmt
0xfa537c114edd1d85a6019222c1c0e90707d2088d,172,0
0xc860c978ce407b561bcbb9121dd2668a1a229a5a,173,591.6674005
0x657a38e6994cb578351376dcdb077330d00665d6,174,292.10831
0x6a5f44d24dca8417db339203d9e07d23321f030b,175,111.64382
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,176,0
0x3a1ca7d233b732d50f9da07dd240573c89b7e07c,177,0
0x780ad0cfd2292ced8eb44ba4a0ea2f70b4551c8b,178,7000
0x60fb4b046b07ce529fb93598286339873d26dd0c,179,0
0x18200c7033ebefdb98fdcf94769da421a0ff898d,180,20
0xaed826444cb27dc08c38a28ef97c5942f9c9123e,181,0
0xbfa700edc21a6bf09d22cea1bba95fc54e7b6dc5,182,0
0xabbf75a59ac8838fa46bd5260501b68ab28b95f6,183,0
0x69b0c84ce54b61b2861867fedb9fa9ff8617d40a,184,1.0407
0x2b9ec7493e1bbbaa88c0a40c36963920d0a4e386,185,0
0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,186,100
0x46c4c4781fbcbd501e11ef8d87180c44026a3ec5,187,10
0xae5328c6a42b7a77fd0e3c910ee5470fe37302c0,188,0
0xf712ab8c4505eb4b36a2ff9fa746470be81e6538,189,500
0x2d9b54a0c8768f8343f54c37594e35d7e69b8e3f,190,117.72865
0x7adfccfd3691a99530f632eec3dc480419addd7d,191,719.88046
0x64368face21029a646d823c0afcbb4da08ce9b78,192,0
0x6573948aef66b3eb45f35ab5c7516678f86d7cc2,193,57.1750153
0x6b9e4f287d44cea39cd8ccedaa42488617aa21a7,194,1649.35445
0x49a3aab8ebe80725646937b9e9f6f8b4e9867bfe,195,2253.5
0x71b700181b31747f28a7cde2c26b503a2335c0ad,196,0
0x29dfa3b040a65ee3fc0da515343c18cdd49c635f,197,0
0xe5656d9cf64ff41ceb7e26e819d70df8b66d1595,198,1197
0xdb2b9d473014d8c6a5e55da92205199457ba6624,199,0
0x82ab77185a80a5b74c92d679a02b28b115f21962,200,0
